Nummer,Thema,Vraag,Toelichting
1,Werkzaamheden,Welke rol vervult de AI binnen de bedrijfsprocessen?,"Denk hierbij aan de volgende soort punten: de taak van de AI, hoe dit gerelateerd is aan eventuele andere processen in de bedrijfsvoering, en wat er bijvoorbeeld gebeurt met de resultaten van de AI."
2,Werkzaamheden,"Wordt de AI voor dezelfde doeleinden gebruikt als waarvoor het is ontwikkeld (doelbinding)? Zijn er doeleinden of taken bijgekomen of weggehaald? Zo ja, welke taken zijn dat en waarom?","Het is belangrijk dat de AI ingezet wordt voor een specifiek doel, en dat indien dit doel gewijzigd wordt, er duidelijkheid is over de nieuwe rol van de AI. Zo kan er beter ingeschat worden of de AI voor het nieuwe doel even goed inzetbaar is. Daarnaast is het soms juridisch niet mogelijk om de AI voor een ander doeleinde in te zetten (check hiervoor eventueel de DPIA, indien die is uitgevoerd)."
3,Werkzaamheden,"Hebben er wijzigingen plaatsgevonden in de AI? Zo ja, in welke mate hebben wijzigingen plaatsgevonden in de AI? Kan er documentatie worden overlegd over de wijzigingen/updates?","Een AI kan constant in ontwikkeling zijn, zowel door updates in de code, als door wijzigingen in de input die de AI krijgt. Documentatie helpt om bij te kunnen houden hoe de AI zich door de tijd heen heeft ontwikkelt. Het is daarom belangrijk om deze documentatie op te bouwen indien deze nog ontbreekt, en paraat te hebben zodra dit opgevraagd wordt."
4,Werkzaamheden,"Is er sprake van veranderende juridische kaders of verandering in het maatschappelijk spanningsveld m.b.t. AI? En zo ja, hoe hebben die invloed op de AI?","De inzet van AI kan vanwege verandering in wetgeving mogelijk niet gepast zijn, of door de huidige maatschappelijke tendens ongewenst worden.  Automatische gezichtsherkenning op straat is een voorbeeld van een soort algoritme wat eerder wellicht geaccepteerd werd in de samenleving, maar tegenwoordig niet meer geaccepteerd wordt en daar bovenop straks verboden gaat worden. Denk dus bij de AI in kwestie aan huidige trends of veranderingen in maatschappelijke aanvaardbaarheidsnormen of wetgeving die invloed uitoefenen op de inzet ervan. "
5,Prestaties,"Wat is je eigen inschatting over waar de risico's liggen bij deze AI? Wat kan er gedaan worden om deze risico's te mitigeren? Refereer naar documentatie, bijvoorbeeld een risicoanalyse (indien die er niet is: overweeg een risicoanalyse uit te voeren). ","De gebruiker van de AI heeft soms al een onderbuikgevoel over waar de risico's van de AI liggen, of waar de zwakke plekken in de governance rond AI in de organisatie zitten. Met deze vraag wordt hier expliciet ruimte voor geboden. Daarnaast verdient het aanbeveling om een risicoanalayse uit te voeren, of uit te laten voeren door een gespecialiseerde derde partij. "
6,Prestaties,In welke mate heeft de AI meerwaarde opgeleverd aan de bedrijfsprocessen? Zijn de verwachtingen uitgekomen? Is de toegevoegde waarde voldoende om eventuele risico’s die gepaard gaan met de inzet van AI te accepteren?,"Bijvoorbeeld: stel de AI is ingesteld om capaciteiten het meest efficiënt te benutten, dan is het belangrijk dat er aangetoond kan worden dat dit ook echt het geval is. Denk bij deze vraag aan een soort kosten/baten analyse, waarbij rekening wordt gehouden met de proportionaliteit. In sommige gevallen kan de doelstelling van de AI 'objectivering' zijn, denk dan na over of de AI de gewenste objectivering ook daadwerkelijk tot stand kan brengen. "
7,Prestaties,"Zijn de prestaties van de AI nog in lijn met de vooraf opgestelde acceptatiecriteria? Heeft er actualisatie van tests plaatsgevonden en wat waren de resultaten? Refereer naar documentatie, bijvoorbeeld de geactualiseerde testrapportages. ","Om ervoor te zorgen dat de AI nog steeds naar behoren werkt, is het goed om periodiek te testen of de resultaten nog steeds naar behoren zijn. Hierbij is het van belang dat de testset uit de huidige populatie wordt gehaald, om zo ook verandering in populatie over tijd mee te kunnen nemen. Het verdient aanbeveling om een aantal acceptatiecriteria in te bouwen met een automatische monitoring of detectiefunctie en het eventueel uit bedrijf halen van de AI als die acceptatiecriteria overschreden worden."
8,Prestaties,Worden fouten in de outputdata tijdig gedetecteerd en geanalyseerd?,"Er kan hierbij gekeken worden naar de accuraatheid, of het aantal vals positieven of negatieven en de redenen dat deze ontstaan. Een error log kan hierbij helpen. "
9,Organisatie,Hoe wordt opvolging gegeven aan afwijkingen van de outputdata om eventuele fouten te herstellen en/of voorkomen?,Het belang van detecteren van afwijkingen gaat hand in hand met de opvolging van deze problemen. Denk hierbij aan hoe dit is opgevolgd en of er aandachtspunten zijn gesignaleerd om dit proces in de toekomst beter te laten verlopen. Een error log kan hierbij helpen. 
10,Organisatie,"Hebben zich technische kwetsbaarheden voorgedaan m.b.t. de informatiebeveiliging van de AI, de inputdata en/of de outputdata? Zo ja, wat waren die en hoe is daarmee omgegaan?","Ook op technisch niveau kunnen er onverwachts problemen voordoen, die impact kunnen hebben in de prestaties en inzetbaarheid van de AI. Indien er problemen zich voordoen, is het belangrijk verantwoording en goede opvolging te kunnen geven."
11,Organisatie,"Hebben zich onverwachte gebeurtenissen voorgedaan bij implementatie en gebruik van de AI? Zo ja, wat waren die en hoe is daarmee omgegaan?","Indien er onverwachte gebeurtenissen plaatsvinden omtrent de inzet van de AI, zowel in de implementatie in het gehele proces als op de menselijk omgang met het systeem, is het belangrijk om de potentiële risico’s te identificeren en opvolging te geven indien nodig. "
